Symbol	Description
ANGCF.OB	Angel Gold Corp
ANGGF.OB	Angang Steel CO Ltd
ANGPY.OB	Anglo American Platinum Ltd
ANGUF.OB	Anglo-Canadian Mining Corp
ANGVF.OB	Angus Ventures Inc
ANIOY.OB	Acerinox Sa ADR
ANKOF.OB	Ankor Gold
ANLBF.OB	Alexander Nubia Intl
ANLDF.OB	Anfield Energy Inc
ANMP.OB	Anacomp Inc
ANNSF.OB	Aena S.A.
ANPCY.OB	Angle Plc
ANPDF.OB	Anta Sports Products Ltd
ANPDY.OB	Anta Sports Prod ADR
ANPFF.OB	Anpulo Food Inc
ANPOF.OB	American Patriot Oil & Gas Ltd
ANSLY.OB	Ansell Ltd ADR
ANSU.OB	Amanasu Techs Corp
ANTGD.OB	Advantagewon Oil Corp
ANTGF.OB	Advantagewon Oil Corp
ANTH.OB	Anthera Pharmaceutic
ANTI.OB	Antigenics Inc
ANVV.OB	Anvia Holdings Corp
ANXGF.OB	Anaconda Mining Inc
ANZBY.OB	Australia and New Zealand Bank
ANZFF.OB	Air New Zealand Ord
ANZLY.OB	Air New Zealand Ltd ADR
AOBI.OB	American Oriental Bioengineering Inc
AOCIF.OB	Autocanada Inc
AOGC.OB	Australian Oil & Gas
AOIFF.OB	Africa Oil Corp
AOLS.OB	Aeolus Pharmaceuticl
AOMFF.OB	Alstom Shs Prov Regr
AOMOY.OB	Ao Mosenergo ADR
AONNF.OB	Aeon Co. Ltd
AONNY.OB	Aeon CO Ltd ADR
AOREF.OB	American Overseas Group Ltd
AOTVF.OB	Ascot Resources Ltd
AOVTF.OB	Andover Mining Corp
AOWDF.OB	Ao World Plc
AOXG.OB	Aoxing Pharmaceutical Company Inc
AOXY.OB	Advanced Oxygen Tech
AOZOY.OB	Aozora Bank ADR
APAAF.OB	Appia Energy Corp
APAFF.OB	Apella Resources Inc
APAJF.OB	Apa Group
APCDF.OB	A Cap Resources Ltd
APCOF.OB	New Tech Minerals Corp
APCX.OB	Apptech Corp
APELY.OB	Alps Electric Ltd Ad
APEMY.OB	Aperam
APEOF.OB	Americas Petrogas Inc
APEUF.OB	Atlas Engineered Products Ltd
APEX.OB	Apex Global Brands Inc
APGI.OB	American Power Group Corp
APGMF.OB	Applied Graphene Mat
APGOF.OB	Apollo Gold & Silver Corp
APHE.OB	Alpha Energy
APHWF.OB	Apollo Healthcare Corp
APLD.OB	Applied Science Prod
APLIF.OB	Appili Therapeutics Inc
APLN.OB	Ae Holding I
APLUF.OB	Applus Svcs S A
APLVF.OB	Ap Alternative Units
APMCF.OB	Morien Resources
APMFF.OB	Eagle Graphite Inc
APMSF.OB	Aperam S.A.
APNHF.OB	Aspen Pharmacare Hld
APNHY.OB	Aspen Pharmacare
APNLF.OB	Apn Property Group Ltd
APPB.OB	Applied Biosciences Corp
APPDW.OB	Applied Dna Sciences Inc WT
APPEF.OB	Appen Ltd
APPZ.OB	Monster Arts Inc
APQT.OB	Appliqate Inc
APRAF.OB	Goldstrike Resources
APRCP.OB	Alabama Pwr 4.52 Pfd
APRDM.OB	Alabama Pwr 4.92 Pd
APRDN.OB	Alabama Pwr 4.20 Pd
APRDO.OB	Alabama Power CO 4.64% Pfd
APRDP.OB	Alabama Power CO 4.72% Pfd
APRO.OB	Allegiant Professnl B/S
APRRF.OB	Atlantic Power Preferred Equity Ltd
APRU.OB	Apple Rush Company Inc
APRWF.OB	Atlantic Pwr Pfd Equ
APSI.OB	Aqua Power Systems
APTCF.OB	Advanced Proteome Therapeutics Corp
APTL.OB	Alaska Pwr & Tel CO
APTPF.OB	Airports of Thailand Public CO Ltd
APTTF.OB	Asian Pay Television Trust
APTY.OB	Apt Systems
APVS.OB	Guardian Tech Intl
APVTW.OB	Aptevo Therapeutics Inc
APWL.OB	Advanced Pwrln Techs Inc
APYI.OB	Aspyra Inc
APYP.OB	Appyea Inc
APYRF.OB	Allied Pptys R E Inv
AQARF.OB	Aquila Resources Inc
AQFH.OB	Aquesta Financial
AQQRF.OB	Aquarius Surgical Technologies Inc
AQSP.OB	Acquired Sales Corp
AQSZF.OB	Aequus Pharmaceuticals Inc
AQUI.OB	Aquagold Intl Inc
ARAFF.OB	Arafura Resources NL
ARAO.OB	Aurasource Inc
ARAT.OB	Arax Holdings Corp
ARBI.OB	Arbios Systems Inc
ARBKF.OB	Argo Blockchain Plc
ARBTF.OB	Argo Gold Inc
ARBU.OB	American Business Crp
ARBV.OB	American Riviera Bnk
ARCAY.OB	Arcadis NV NY Reg #
ARCS.OB	Arcis Resources Corp
ARCUF.OB	Arcus Development Grp Inc
ARCVF.OB	Arcadis NV
ARCW.OB	Arc Group Worldwide
ARDNF.OB	Argent Minerals Ltd
AREB.OB	American Rebel Holdings Inc
ARECW.OB	American Resources Corp WT
ARESF.OB	Artis Real Est IN TR
ARET.OB	Arete Industries Inc
AREVF.OB	Arev Nanotec Brands Inc
ARFXF.OB	Amorfix Life Science
ARGC.OB	Arion Group Corp
ARGGD.OB	Aston Martin Lagonda Global Holdings Plc ADR
ARGGY.OB	Aston Martin Lagonda Global Holdings Plc ADR
ARGKF.OB	Aggreko Plc
ARGL.OB	Argyle Security Inc
ARGQ.OB	Argentum 47 Inc
ARGTF.OB	Artemis Gold Inc
ARGW.OB	Argus Worldwide Group
ARGYF.OB	Avanti Energy Inc
ARHH.OB	Assure Holdings Corp
ARHN.OB	Archon Corp
ARHTF.OB	Arht Media Inc
ARHUF.OB	Aak Ab
ARHVF.OB	Archer Ltd
ARIZF.OB	Acme Resources Inc
ARKAF.OB	Arkema S.A.
ARKAY.OB	Arkema ADR
ARLCF.OB	Air Partner Plc
ARLLF.OB	Argan Neuilly Sur Seine
ARLUF.OB	Aristocrat Leisure L
ARMC.OB	Asiarim Corp
ARME.OB	Armor Electric Inc
ARMZF.OB	Aura Minerals Inc
ARNGF.OB	Argonaut Gold Ltd
ARNI.OB	Arno Therapeutics
AROSF.OB	Aurora Spine
ARPC.OB	Arem Pacific Corp
ARREF.OB	Amerigo Resources
ARRJF.OB	Arjo Ab
ARRPY.OB	Aeroports DE Paris Sa ADR
ARRRF.OB	Ardea Resources Ltd
ARRT.OB	Artisan Consumer Goods Inc
ARRXF.OB	Archer Materials Ltd
ARSC.OB	American Securty Res
ARSEF.OB	Altai Resources Inc
ARSLF.OB	Altima Resources Ltd
ARSMF.OB	Ares Strategic Mining Inc
ARSN.OB	Aureus Inc
ARSRF.OB	Aeris Resources Ltd
