Symbol	Description
RTNXF.OB	Renalytix Ai Plc
RTOKY.OB	Rentokil Initial Plc
RTON.OB	Right On Brands Inc
RTOXF.OB	Rotork Plc Ord 5P
RTOXY.OB	Rotork Plc ADR
RTPPF.OB	Rio Tinto Plc
RTRK.OB	Red Truck Entertainment
RTSL.OB	Rapid Therapeutic Science Labs Inc
RTTO.OB	Rito Group Corp
RTWFF.OB	Rtw Venture Fund Ltd
RUBNF.OB	Rubicon Ltd
RUBSF.OB	Rubis Et Cie S.A.
RUDQF.OB	RBC Quant US Dividend Leaders ETF
RUFIF.OB	Ruffer Investment Company Ltd
RUPRF.OB	Rupert Res Ltd
RUSMF.OB	Russel Metals Inc
RVBR.OB	Markray Corp
RVCB.OB	Riverton Community Bank Ill
RVIV.OB	Reviv3 Procare CO
RVLGF.OB	Revival Gold
RVLTF.OB	Revolution Techs Inc Ord
RVNG.OB	Raven Gold Corp
RVRC.OB	Revium Recovery Inc
RVSDF.OB	Riverside Res Inc
RVTI.OB	Rival Technologies Inc
RVVQF.OB	Ravenquest Biomed Inc
RVVTF.OB	Revive Therapeutics Ltd
RVXCF.OB	Resverlogix Corp
RWBYF.OB	Red White & Bloom Brands Inc
RWCB.OB	Redwood Capital Bcp
RWCRF.OB	Riwi Corp
RWEOY.OB	Rwe Ag Ord ADR
RWFC.OB	Renewable Fuel Corp
RWGI.OB	Rodedawg International Industries Inc
RWMI.OB	Regalworks Media Inc
RWNFF.OB	Rwe Ag New Essen
RWRDP.OB	Iconsumer Corp Non Vtg Pfd Stk Ser A
RWWI.OB	Avatech Solutions
RXEEY.OB	Rexel S.A.
RXLSF.OB	Rexel Sa
RXMD.OB	Progressive Care
RYAOF.OB	Ryanair Holdings Plc
RYBIF.OB	Ryobi Ltd
RYCEF.OB	Rolls Royce Grpord
RYCEY.OB	Rolls Royce Grp ADR
RYDAF.OB	Royal Dutch Shell Plc
RYDBF.OB	Royal Dutch Shell Plc
RYES.OB	Rise Gold Corp
RYFL.OB	Royal Financial Inc
RYHTY.OB	Ryman Healthcare Ltd
RYKKF.OB	Ryohin Keikaku CO Ltd
RYKKY.OB	Ryohin Keikaku
RYLPF.OB	Koninklijke Philips N.V.
RYMDF.OB	Relay Medical Corp
RYMM.OB	Royal Mines & Minerl
RYNL.OB	Reynaldos Mexican Food Company Inc
RYOOF.OB	Rio Silver Inc
RYPE.OB	Royalite Petroleum Company
RYPPF.OB	Ryu Apparel Inc
RYSMF.OB	Royal Standard Minerals
RZREF.OB	Razor Energy
RZSMF.OB	Rizzoli Corriere Della Sera Mediagroup Spa
RZZRY.OB	Razer Inc ADR
SAABF.OB	Saab Ab
SAAX.OB	Nouveau Ventures Inc
SABK.OB	South Atlantic Bancshares Inc
SADMF.OB	Sanatana Resources Ord
SAEC.OB	Starlight Energy Corp
SAEI.OB	Supatcha Resources Inc
SAENF.OB	Solar Alliance Energy Inc
SAEYY.OB	Shop Apotheke Europe NV
SAFLF.OB	Safilo Group Spa
SAFLY.OB	Safilo Group Spa Vicenza
SAFO.OB	Save Foods Inc
SAFRF.OB	Safran S.A. Ord Shs
SAFRY.OB	Safran S.A.
SAFS.OB	Safer Shot Inc
SAGD.OB	South American Gold
SAGKF.OB	Stagecoach Group Plc Ord
SAIDF.OB	Fidelity Minerals Corp
SAKH.OB	Sakha Enterprises Corp
SAKL.OB	Sack Lunch Productions Inc
SALN.OB	Salon City Inc
SALRF.OB	Salmar ASA
SALRY.OB	Salmar ASA ADR
SAML.OB	Samsara Luggage Inc
SAMMF.OB	Sama Res/Ressources Sama
SAMOF.OB	Sangoma Technologies Corp
SANP.OB	Santo Mining Corp
SANT.OB	Santeon Group Inc
SAPGF.OB	SAP Ag Systeme Dm5
SAPIF.OB	Saputo Inc
SAPLF.OB	Sylvania Platinum Ltd Ord
SAPMF.OB	Saipem Spa
SAPMY.OB	Saipem Spa
SAPX.OB	Seven Arts Pictures Plc
SARSF.OB	Canada House Wellness Group Inc
SARTF.OB	Sartorius Ag Ord
SASDY.OB	Sas Ab ADR
SASOF.OB	Sasol Ltd Ord
SATLF.OB	Start Today CO
SAUHF.OB	Straumann Hld N Akt
SAUHY.OB	Straumann Hld
SAVNF.OB	Savannah Resources Plc
SAVW.OB	Savwatt USA Inc
SAWLF.OB	Shawcor Ltd
SAXPF.OB	Sampo Oyj
SAXPY.OB	Sampo Oyj ADR
SAYFF.OB	3 Sixty Risk Solutions Ltd
SBAY.OB	Subaye Inc
SBBG.OB	Seibels Bruce Group Inc
SBBSF.OB	Sabana Shariah Compliant Industrial Real Estate
SBDCF.OB	Sbd Capital Corp
SBDG.OB	Small Business Development Group Inc
SBES.OB	South Beach Spirits Inc
SBEV.OB	Splash Beverage Group Inc
SBFFF.OB	Sbm Offshore NV
SBFFY.OB	Sbm Offshore NV
SBFM.OB	Sunshine Biopharma
SBGSF.OB	Schneider Electric
SBGSY.OB	Schneider Electric S
SBHGF.OB	Sbi Holdings Inc Ord
SBHMY.OB	Sino Biopharmaceutical ADR
SBKFF.OB	State Bk India Reg S
SBKK.OB	Suncrest Bank Visali
SBKO.OB	Summit Bank Group Inc
SBLRF.OB	Sable Resources Ltd
SBLUY.OB	Stabilus S.A. ADR
SBMFF.OB	Sino Biopharmaceutic
SBMIF.OB	Stratabound Minerals Corp
SBMSF.OB	South Boulder Mines
SBNC.OB	Southern Bancshares
SBNCM.OB	Southern Bancshares [Nc] Inc Conv Cl B Pfd
SBOEF.OB	Schoeller Bleckman Oilfld
SBOEY.OB	Schoeller Bleckmann Oilfield Equipment Ag
SBOX.OB	Superbox Inc
SBRCY.OB	Sberbank Russia
SBSAA.OB	Spanish Broadcasting System Inc
SBSNF.OB	Schibsted Ord
SBSNY.OB	Schibsted ASA
SBUM.OB	Silver Buckle Mines
SBVCF.OB	Subversive Capital Acquisition Corp
SBVQF.OB	Subversive Capital Acquisition Corp
SBVRF.OB	Subversive Real Estate Acquisition REIT LP
SBWFF.OB	Strongbow Expl Inc
SBYSF.OB	Sibanye Stillwater Ltd
SCAL.OB	Stem Cell Authority Ltd
SCAY.OB	Seneca-Cayuga Bancorp Inc
SCBFF.OB	Standard Chartered.5
SCBFY.OB	Standard Chartered Plc ADR
SCBGF.OB	Sig Combibloc Group Ag
SCBS.OB	Southern Community Bancshares Inc
SCBZ.OB	Scoobeez Global Inc
SCCFF.OB	Strategic Resources Inc
SCDA.OB	B-Scada Inc
SCEXF.OB	Saracen Mineral
SCEYD.OB	Source Energy Services
SCEYF.OB	Source Energy Services
SCFFF.OB	Spot Coffee Ltd
SCFLF.OB	Schaeffler Ag
SCFR.OB	Security First Intl
SCGEY.OB	Shoucheng Hldgs Ltd
SCGLF.OB	Societe Generale
SCGLY.OB	Societe Generale Spo
SCGPY.OB	Serco Group Plc.
SCGX.OB	Saxon Capital Group
SCHYF.OB	Sands China
SCHYY.OB	Sands China Ltd
SCIA.OB	Sci Engineered Materials Inc
SCIE.OB	Spectrascience
SCIXF.OB	Suny Cellular Communication Ltd
SCMWY.OB	Swisscom Ag Ads
SCNA.OB	Smart Cannabis Corp
SCND.OB	Scientific Inds Inc
SCNG.OB	SC Holdings Corp
SCNLF.OB	Scancell Holdings Plc.
SCNNF.OB	Sativa Wellness Group Inc
SCNTQ.OB	Scient Inc
SCON.OB	Superconductor Tech
SCOO.OB	School Specialty
SCPJ.OB	Scope Industries 10
SCPPF.OB	S4 Capital Plc
SCRCQ.OB	Scripsamerica Inc
SCRH.OB	Scores Hld CO Inc
SCRYY.OB	Scor Ads
SCSG.OB	Southcrest Fin Grp
SCSHF.OB	Scottish Oriental Smaller Companies Trust Plc
SCTBF.OB	Securitas Ab B Free
SCTC.OB	Scoutcam Inc
SCTN.OB	Schimatic Technlgs I
SCTSF.OB	Scottie Resources Corp
SCTY.OB	Monitronics International Inc
SCUPF.OB	Second Cup Realty
SCVPF.OB	Siam Cement Public CO Ltd
SCVPY.OB	Siam Cement Public CO Ltd
SCWTF.OB	Schweiter Technologies Ag Horgen
SCYT.OB	Security Bancorp
SCYYF.OB	Scandium International Mining Corp
SCZC.OB	Santa Cruz Cty Bk CA
SDAD.OB	S H Resources & Devel Corp
SDCVF.OB	Sa Des Ciments Vicat
SDEC.OB	Smart Decision Inc
SDGB.OB	Ssnb Inc
SDGCF.OB	Sundrug CO Ltd Ord
SDGMF.OB	Shandong Gold Mining Co. Ltd
SDLPQ.OB	Seadrill Partners Llc
SDMHF.OB	Sartorius Stedim Bio
SDNI.OB	Scandia
SDON.OB	Sandston Corp
SDRC.OB	Schroders Plc-Non Voting
SDRDW.OB	Sandridge Energy Inc WT Ser B Exp 10/04/2022
SDRLF.OB	Seadrill Ltd
SDRWW.OB	Sandridge Energy Inc WT Ser A Exp 10/04/2022
SDSS.OB	Suspect Detection Sy
SDTC.OB	Sentaida Tire CO Ltd
SDTCD.OB	Givbux Inc
SDTTU.OB	Sandridge Mississippian Trust
SDURF.OB	Stroud Resources Ltd
SDVI.OB	Signature Devices
SDVKF.OB	Sandvik Ab
SDVKY.OB	Sandvik Ab ADR
SDXAY.OB	Sodexo Ads
SDXEF.OB	Sdx Energy Plc
SDXOF.OB	Sodexo
SEAOF.OB	Seaco Ltd
SEAV.OB	Seatech Ventures Corp
SEBC.OB	Southeastern Banking Corp
SECCF.OB	Serco Group Plc
SECI.OB	Sector 10 Inc
SECTF.OB	SSGA SPDR ETFS Europe II Plc
SECYF.OB	Secure Energy Svcs
SEDN.OB	Sed International Holdings Inc
SEDO.OB	Seedo Corp
SEEK.OB	Thedirectory.com Inc
SEEMF.OB	Seeing Machines
SEGI.OB	Sycamore Entertainment Group Inc
SEGXF.OB	Segro Plc REIT
SEGYY.OB	Spt Energy Group Inc
SEHCF.OB	Sweet Earth Holdings Corp
SEHKF.OB	Seahawk Ventures Inc
SEII.OB	Sharing Economy International Inc
SEKEF.OB	Seiko Epson Corp
SEKEY.OB	Seiko Epson ADR
SEKZF.OB	Secova Metals Corp
SEMHF.OB	Siemens Healthineers Ag
SEMUF.OB	Siem Industries Inc
SENR.OB	Strategic Env & Egy
SENY.OB	Sauer Energy Inc
SEOAY.OB	Stora Enso Oyj Ads
SEOJF.OB	Stora Enso Oyj
SEOVF.OB	Sernova Corp
SEPGY.OB	Supergroup Plc Cheltenham ADR
SEPJF.OB	Spectris Plc [Uk]
SEPOF.OB	Blumetric Environmental Inc
SERKF.OB	Serko Ltd
SESCF.OB	Seaspan Corp
SESI.OB	Ses Solar Inc
SESMF.OB	Suess Microtec Ag
SETO.OB	Seto Holdings Inc
SETY.OB	Star Entertainment Group Inc
SEVA.OB	Seaway Valley Capitl
SEVT.OB	Summit Environmental Corp Inc
SEXHF.OB	Sichaun Expressway Ord
SEYE.OB	Signature Eyewear Inc
SEYMF.OB	Solaria Energia Y Medio Ambienete Sa
SEZNL.OB	Sezzle
SFBE.OB	Sino Fibre Commun
SFBK.OB	Sfb Bancorp Inc
SFBQF.OB	Softbank Corp
SFBTF.OB	Softbank Technology Corp
SFDL.OB	Security Federal Cor
SFDPF.OB	Spark Infrastructure
SFEF.OB	Santa Fe Financial Corp
SFFLY.OB	Schaeffler Ag
SFFYF.OB	Signify NV
SFHI.OB	Sports Field Holding
SFIIF.OB	Skyfii Ltd
SFIN.OB	Safetek Intl Inc
SFIO.OB	Smokefree Innotec Inc
SFIV.OB	Sector 5
SFOR.OB	Strikeforce Technologies Inc
SFOSF.OB	Shanghai Fosun
SFPI.OB	Baby All
SFRGF.OB	Salvatore Ferragamo
SFRGY.OB	Salvatore Ferragamo
SFRI.OB	Safari Corp
SFRRF.OB	Sandfire Resources NL
SFRX.OB	Seafarer Exploration
SFSHF.OB	Safestore Hldgs Plc Ord
SFTBF.OB	Softbank Corp Ord
SFTBY.OB	Softbank Corp ADR
SFWJ.OB	Software Eff Sltns Corp
SGACF.OB	SSGA SPDR MSCI ACWI
SGAMF.OB	Sega Sammy Hlds Ord
SGAMY.OB	Sega Sammy Hld ADR
SGAPY.OB	Singapore Tele ADR
SGBAF.OB	Ses Global S.A.
SGBG.OB	Signature Bank of Georgia
SGBI.OB	Sangui Biotech Intl Inc
SGBLY.OB	Std Bk Grp Ltd/S ADR
SGCPF.OB	Solstice Gold Corp
SGDH.OB	SGD Holdings Ltd
SGER.OB	Sterling Energy Res Inc
SGGC.OB	Sigma Global Corp
SGGEF.OB	Sage Group Plc
SGGFF.OB	Ipath.B Sugar TR ETN
SGGKF.OB	Singapore Tech Eng Ltd
SGGKY.OB	Singapore Technologies Engineering Ltd
SGGSF.OB	SSGA SPDR ETFS Europe I Plc
SGGTF.OB	Signature Resources Ltd
SGHIF.OB	Shanghai Industrial Holdings Ltd
SGIOF.OB	Shionogi & CO Ltd
SGIOY.OB	Shionogi & CO Ltd Un
SGLA.OB	Sino Green Land Corp
SGLFF.OB	Sgl Group
SGLMF.OB	Starhill Global Real Estate Investment Trust
SGLN.OB	Surgline International Inc
SGLRF.OB	Spyglass Resources Corp
SGLS.OB	Signature Leisure Inc
SGMD.OB	Sugarmade Inc
SGMLF.OB	Sigma Lithium Resources Corp
SGMNF.OB	Sutter Gold Mining Inc
SGNI.OB	Stemgen Inc
SGOO.OB	Snoogoo Corp
SGPRF.OB	Singapore Press Holdings Ltd
SGPYY.OB	Sage Grp Plc ADR
SGQRF.OB	Southgobi Resources Ltd
SGRB.OB	Sigmabroadband CO
SGRCF.OB	San Gold Corp
SGRNF.OB	Serengeti Resources
SGRPW.OB	Sirius International Insurance Group Ltd WT Exp
SGRZ.OB	Stonepath Group Inc
SGSI.OB	Spectrum Global Solutions Inc
SGSOF.OB	Sgs Ltd Ord Shs
SGSOY.OB	Sgs Sa ADR
SGSSF.OB	SSGA SPDR ETFS Europe I Plc
SGSVF.OB	Sabina G & S
SGTB.OB	Suggestion Box
SGTI.OB	Shengtai Pharmaceut
SGTM.OB	Sustainable Green Team Inc
SGTN.OB	Soligen Technologies
SGTPY.OB	Surgutneftegaz Pref
SGTSY.OB	Singulus Technologies Ag
SGTZY.OB	Surgutneftegaz ADR
SGUJ.OB	Saguaro Holdings Corp
SGXXF.OB	Sound Global Ltd
SGYI.OB	Strategy Intl Ins Grp Inc
SHALF.OB	Shangri-La Asia Ltd
SHALY.OB	Shangri-La Asia Ltd
SHANF.OB	Shandong Molomg P/M H Shs
SHASF.OB	Shamaran Petroleum
SHAVF.OB	Scottish American Investment Company Plc
SHCAF.OB	Sharp Corp [Osaka]
SHCAY.OB	Sharp Corp Ltd ADR
SHCC.OB	Shi Corp
SHCMF.OB	Search Minerals Inc Ord
SHDC.OB	Surety Holdings Corp
SHECF.OB	Shin-Etsu Chemical C
SHECY.OB	Shin-Etsu Chemical C
SHERF.OB	Sherritt International Corp
SHGDF.OB	Shore Gold Fd Inc
SHGFF.OB	Skylight Health Group Inc
SHGP.OB	Sharpe Resource Corp
SHGY.OB	Searchguy.com Inc
SHIEF.OB	Shield Therapeutics Plc
SHKLY.OB	Sinotruk [Hk] Limited ADR
SHLAF.OB	Schindler Holding Ag
SHLDQ.OB	Sears Hlds Corp
SHLOQ.OB	Shiloh Inds Inc
SHLRF.OB	Schindler Hld Ag Akt
SHMCF.OB	Renewi Plc
SHMDF.OB	Shimano Inc Ltd
SHMN.OB	Sohm Inc
SHMP.OB	Naturalshrimp
SHMUF.OB	Shimizu Corp
SHMUY.OB	Shimizu Corp
SHMZF.OB	Shimadzu Corp
SHNL.OB	Shentang Intl Inc
SHNWF.OB	Schroders Plc
SHOM.OB	Southern Home Medicl
SHPHF.OB	Sihuan Pharmaceutical Holdings Group Ltd
SHPMF.OB	Shanghai Pharms Hl H Ord
SHPMY.OB	Shanghai Pharmaceuticals Holding CO Ltd ADR
SHPNF.OB	Shoal Point Energy Ltd
SHPPF.OB	Shop Apotheke Europe NV
SHRG.OB	Sharing Services Global Corp
SHRMF.OB	Champignon Brands
SHTDF.OB	Sinopharm Group CO L
SHTDY.OB	Sinopharm Group
SHTLF.OB	South32 Ltd
SHTRF.OB	Sunlight Real Estate Investment Trust
SHUNF.OB	Shunfeng Photo
SHVLF.OB	Starcore International Mines Ltd
SHVTF.OB	Select Harvests Ltd
SHWDF.OB	Showa Denko Ord
SHWGF.OB	Shandong Weigao Group Medical Polymer CO  Ltd
SHWGY.OB	Shandong Weigao Group Medical Polymer CO Ltd A
SHWK.OB	Seahawk Dp Ocean Tech
SHWZ.OB	Medicine Man Technologies Inc
SHZHY.OB	Shenzhou International Group Holdings Ltd ADR
SHZUY.OB	Shizuoka Bank Ltd [Japan] ADR
SIAF.OB	Sino Agro Food Inc
SIBE.OB	Sibling Entertainmnt
SICNF.OB	Sokoman Iron Corp
SIDGQ.OB	Stamford Indus Group Inc
SIEGY.OB	Siemens Ag
SIELY.OB	Shanghai Electric
SIERF.OB	Sierra Growth Corp
SIETY.OB	S.A. Dieteren ADR
SIGL.OB	Signal Advance Inc
SIGN.OB	Signet Intl Hlds Inc
SIGO.OB	Sunset Island Group Inc
SIGY.OB	Sigyn Therapeutics Inc
SIHBY.OB	Shenzhen Investment Hlds Bay Area Dev.
SILDF.OB	Sintokogio Ltd
SILEF.OB	Silver Elephant Mining Corp
SILLF.OB	Sarin Technologies
SILO.OB	Silo Pharma Inc.
SILS.OB	Silver Scott Mines I
SILXF.OB	Silex Systems Ltd
SILXY.OB	Silex Systems Ltd SP
SIMC.OB	Simclar Inc
SIML.OB	Simlatus Corp
SIMP.OB	Simply Inc
SIMTF.OB	Sim Technology Group
SINC.OB	Sincerity Applied
SING.OB	Singlepoint Inc
SINGF.OB	Singapore Airlines Ltd
SINGY.OB	Singapore Airlines L
SINX.OB	Sionix Corp
SIOCF.OB	Sierra Iron Ore Corp
SIOPF.OB	Shimao Group Holdings Ltd
SIPC.OB	Sipp Industries Inc
SIPN.OB	Sipp International I
SIRC.OB	Solar Integrated Roofing Corp
SIREF.OB	Sirios Resource Corp
SIRZF.OB	Sir Rty Income Fd
SISAF.OB	Sipef Sa
SISXF.OB	Savaria Corp
SITIY.OB	Sitc International Holdings CO Ltd ADR
SITKF.OB	Sitka Gold Corp
SITOQ.OB	Sito Mobile
SITS.OB	Southern Its International Inc
SIUAF.OB	Stabilus Sa
SIUIF.OB	Semiconductor MFG IN
SIVE.OB	Silver Verde May Mining CO Inc
SIXD.OB	6D Global Technologies Inc
SIZYF.OB	Major Precious Metals Corp
SJMHF.OB	Sjm Hld Ltd
SJMHY.OB	Sjm Holdings Ltd ADR
SJOYW.OB	Scienjoy Holding Corp Wts
SJRNF.OB	Sojourn Exploration Inc
SJRWF.OB	Shaw Communications Inc
SKAS.OB	Saker Aviation Svcs Inc
SKBSY.OB	Skanska Ab
SKDI.OB	Sun Kissed Industries Inc
SKFOF.OB	Sika Finanz
SKFRY.OB	Skf Ab ADR
SKGO.OB	Skybridge Tech Group Inc
SKHCF.OB	Sonic Healthcare Ltd
SKHHY.OB	Sonic Healthcare Ltd ADR
SKHRF.OB	Stakeholder Gold Cor
SKHSF.OB	Sekisui House Ltd [Japan]
SKHSY.OB	Sekisui House Spn Ad
SKJJF.OB	Streettracks S&P/Asx 200 Fund
SKKAF.OB	Sk Kaken Co. Ltd
SKKFF.OB	Strikewell Energy Corp
SKKRF.OB	Skrr Expl Inc
SKKY.OB	Skkynet Cloud
SKLKF.OB	Shinsei Bank Ltd
SKLKY.OB	Shinsei Bankltd
SKLMF.OB	Skellmax Holdings Ltd
SKLNF.OB	Skyline Investment Inc
SKLTY.OB	Seek Ltd
SKLV.OB	Skye Life Ventures
SKLYF.OB	Skylark CO Ltd
SKPGF.OB	Spark Power Group Inc
SKPI.OB	Sky Petroleum Inc
SKPN.OB	Skyshop Logistics Inc
SKPO.OB	Skye Petroleum Inc
SKREF.OB	Skeena Resources Ltd
SKRJ.OB	Silk Road Entertainment Inc
SKRUF.OB	Scottish Re Grp Pfd
SKSBF.OB	Skanska A B Ser B Fr
SKTO.OB	Sk3 Group Inc
SKTP.OB	Skytop Lodge Corpora
SKTPP.OB	Skytop Lodge Corp
SKUFF.OB	Svenska Kullager B
SKVI.OB	Skinvisible Inc
SKVY.OB	Sentry Technology Corp
SKXJF.OB	Sankyo CO Gumma
SKYE.OB	Skye Bioscience Inc
SKYF.OB	Sky440 Inc
SKYI.OB	Sky Century Investment Inc
SLBG.OB	Slinger Bag Inc
SLCFF.OB	Bpli Holdings Inc
SLCH.OB	Spotlight Capital Holdings Inc
SLCJY.OB	Slc Agricola S.A.
SLCO.OB	Sovereign Lithium Inc
SLDGF.OB	Solidusgold
SLFPF.OB	Standard Life Plc
SLFPY.OB	Standard Life Plc Ad
SLFSF.OB	Sun Life Financial Inc
SLFYF.OB	Sun Life Financial Inc Cl A Non-Cumulative Pfd S
SLGBF.OB	Samling Global Ltd
SLGD.OB	Scotts Liquid Gold Inc
SLGGF.OB	Solgold Plc
SLGRF.OB	SLM Solutions Gruop
SLGWF.OB	Slang Worldwide Inc
SLJB.OB	Sulja Bros Bldg Supplies
SLLDY.OB	Sanlam Ltd ADR
SLLFF.OB	Gusbourne Plc
SLLN.OB	Searchlight Solutions Ltd
SLLTF.OB	Le Mare Gold Corp
SLMNP.OB	Schulman A Inc
SLMXF.OB	Slam Exploration Ltd
SLMZF.OB	Damara Gold Corp
SLNCF.OB	Silence Therapeutics
SLNG.OB	Stabilis Solutions Inc
SLNLY.OB	Stella International Holdings Ltd
SLNM.OB	Salon Media Group Inc
SLNX.OB	Solanex Management
SLOIF.OB	Soitec Sa
SLOIY.OB	Soitec Bernin
SLRK.OB	Solera Natl Bancorp
SLROF.OB	Stellar Resources Ltd
SLRRF.OB	Silver Range Res Ltd
SLSDF.OB	Select Sands Corp
SLSSF.OB	Solaris Res Inc
SLTFF.OB	Pegasus Resources Inc
SLTN.OB	Silverton Energy Inc
SLTTF.OB	Slate Office REIT TR Unit
SLTZ.OB	Solar Thin Films
SLUP.OB	Solucorp Industries Ltd
SLVDF.OB	Silver Dollar Res Inc
SLVMF.OB	Silver Mines Ltd
SLVRF.OB	Silver One Resources Inc
SLVTF.OB	Silver Tiger Metals Inc
SLXXF.OB	Selectcore Ltd
SMAA.OB	Sma Alliance Inc
SMAL.OB	Summit Bancshares Inc
SMAS.OB	Somatic Systems Inc
SMATF.OB	Supreme Metals Corp
SMAWF.OB	Siemens A G Register
SMAYF.OB	Simec Atlantis Energy Ltd
SMBMY.OB	Sembcorp Marine Ltd ADR
SMBZF.OB	Gold Star Resources
SMCAY.OB	Smc Corp
SMCBF.OB	Siam Commercial Bk
SMCE.OB	Smc Recordings Inc
SMDM.OB	Singing Machine Inc
SMDZF.OB	Strategic Metals Ltd
SMEBF.OB	Sime Darby Bhd
SMECF.OB	Smc Cp
SMEGF.OB	Siemens Energy Ag
SMEV.OB	Simulated Environmen
SMEYF.OB	Smart Employee Benefits
SMFKY.OB	Smurfit Kappa
SMFNF.OB	Sumitomo Mitsui Finl
SMFTF.OB	Smurfit Kappa Group Plc
SMGBF.OB	San Miguel Corp
SMGBY.OB	San Miguel Corp Cl B
SMGI.OB	Smg Indium Res Ltd
SMGKF.OB	Smiths Group Plc Ord
SMGRF.OB	Summerset Group Holdings Ltd Wellington
SMGZY.OB	Smiths Group Plc ADR
SMICY.OB	Semiconductor Manufacturing International
SMIZF.OB	Sol Melia Sa Ord
SMKC.OB	Smoke Cartel Inc
SMKG.OB	Smart Card Marketing
SMLR.OB	Semler Scientific
SMMCF.OB	Summit Industrial Income REIT TR Unit
SMME.OB	Smartmetric Inc
SMMNY.OB	Siemens Healthineers Ag ADR
SMMR.OB	Stanlib Multi-Manager Global Equity Feeder Fund
SMMYY.OB	Sumitomo Metal Mining CO Ltd
SMNEY.OB	Siemens Energy Ag
SMNNY.OB	Shimano Inc
SMNUF.OB	Pt Sarana Menara Nus
SMOFF.OB	Sonoro Metals Corp
SMPBF.OB	Blocplay Entertainment Inc
SMPEF.OB	Southern Empire Res Corp
SMPNY.OB	Sompo Japan Nipponkoa Holdings Inc ADR
SMPP.OB	Strategic Mgmt & Oppty Cp
SMPR.OB	Standard Metals Processing Inc
SMREF.OB	Sun Summit Minerals Corp
SMRH.OB	Superior Marketing Research Corp
SMRL.OB	Simtrol Inc
SMRN.OB	Smartag International Inc
SMRTQ.OB	Stein Mart Inc
SMRVF.OB	Smooth Rock Ventures Corp
SMSEY.OB	Samsonite
SMSMY.OB	Sims Metal Management Ltd
SMSOF.OB	Samsonite Intl
SMTGF.OB	Sma Solar Technology Ag [Niestetal]
SMTGY.OB	Sma Solar Technology Ag
SMTLF.OB	Gcl New Energy Holdings Ltd
SMTOY.OB	Sumitomo Electric IN
SMTTF.OB	Samart Telecoms Public
SMTUF.OB	Sumitomo Rubber Industries Ltd
SMUPF.OB	Sims Metal Management Ltd
SMUUY.OB	Siam Commercial ADR
SMVI.OB	Social Media Venture
SMVR.OB	Smart Ventures Inc
SMWFF.OB	SSGA SPDR ETFS Europe II Plc
SMXMF.OB	Samex Mining Corp
SNANF.OB	Sona Nanotech Inc
SNAS.OB	Sino Assurane Inc
SNAVF.OB	Star Navigation Systems Group Ltd
SNBIF.OB	Sanbio Company Ltd
SNCAF.OB	Snc Lavalin Group IN
SNCPF.OB	Sun Corp
SNDD.OB	Redhawk Holdings Corp
SNDH.OB	Standard Holdings Group Ltd
SNDVF.OB	Scandinavian Tobacco Group As
SNDZ.OB	Sunridge International Inc
SNEJF.OB	Sony Corp Ord
SNFRF.OB	Sinofert Holdings Ltd
SNFRY.OB	Sinofert Holdings Ltd
SNGNF.OB	Singapore Telecm Ord
SNGY.OB	Synrgy Corp
SNHO.OB	Shonghoya Intl Group Inc
SNIOF.OB	Sensio Technologies Inc
SNIPF.OB	Snipp Interactive IN
SNLAF.OB	Sino Land CO Ltd
SNLAY.OB	Sino Land CO Ltd Spo
SNLC.OB	Security Natl [Iowa]
SNLP.OB	Syntrol Corp
SNLRF.OB	Sentinel Resources Corp
SNLS.OB	San Luis TR Bk Fsb
SNMCY.OB	Suncorp Group
SNMN.OB	Snm Global Holdings
SNMRF.OB	Snam Spa
SNMRY.OB	Snam Rete Gas ADR
SNMSF.OB	Spin Master Corp
SNMYF.OB	Suncorp Group Ltd
SNNAF.OB	Sienna Resources Inc Ord
SNNAQ.OB	Sienna Biopharmaceuticals Inc
SNNC.OB	Sibannac Inc
SNNF.OB	Seneca Financial Corp
SNNGF.OB	Sienna Gold Inc
SNNSF.OB	Sensen Networks Ltd
SNNUF.OB	Smith & Nephew Plc O
SNNVF.OB	Sunniva Inc
SNNY.OB	Sunnyside Bancorp
SNPHF.OB	Santen Pharmaceutical CO Ltd
SNPHY.OB	Santen Pharmaceutical CO
SNPMF.OB	China Pete & Chem CO
SNPTF.OB	Sunny Optical
SNPW.OB	Sun Pacific Holding Corp
SNPX.OB	Synaptogenix Inc
SNRG.OB	Susglobal Energy Corp
SNRR.OB	Super Nova Resources Inc
SNRS.OB	Sunrise Consulting Group Inc
SNRY.OB	Solar Energy Initiatives Inc
SNSFF.OB	Venzee Technologies Inc
SNSGF.OB	Sense Techs Inc
SNST.OB	Sunset Capital Assets Inc
SNTE.OB	Sante Technology Holdings Inc
SNTW.OB	Summit Networks Inc
SNTX.OB	Suntex Enterprises Inc
SNUYF.OB	Serinus Energy Plc
SNVFF.OB	Sonoro Energy
SNVIF.OB	Sonovia
SNVP.OB	Savoy Energy Corp
SNVVF.OB	Step Energy Services
SNWR.OB	Sanwire Corp
SNWV.OB	Sanuwave Health Inc
SNYL.OB	Sunnylife Global Inc
SNYNF.OB	Sanofi-Aventis S.A.
SNYR.OB	Synergy Strips Corp
SNYYF.OB	Sany Heavy Equip Intl Hld
SNZZF.OB	Senzime Ab
SOAN.OB	Angiosoma Inc
SOBKY.OB	Softbank Corp ADR
SOBR.OB	Sobr Safe Inc
